"X","Y","D1","D2","D3","D4","D5","D6","D7","D8","actualX","actualY","experimentalX","experimentalY","errorX","errorY"
"22.0","24.0","19.952623","10.0","17.782795","1.2589254","5.623413","50.118725","25.118864","39.81072","22.0","24.0","21.552177","17.796764","0.44782257","6.2032356"
"23.0","24.0","31.622776","14.125376","12.589254","1.7782794","2.2387211","25.118864","35.48134","19.952623","23.0","24.0","26.65942","26.405317","3.65942","2.4053173"
"24.0","24.0","15.848932","22.38721","10.0","0.8912509","1.9952623","15.848932","10.0","11.220184","24.0","24.0","31.076855","32.34541","7.0768547","8.345409"
"25.0","24.0","7.943282","28.18383","19.952623","0.2818383","4.466836","35.48134","4.466836","10.0","25.0","24.0","22.555014","21.67139","2.4449863","2.3286095"
"26.0","24.0","6.3095737","14.125376","19.952623","0.56234133","1.5848932","6.3095737","3.9810717","7.0794578","26.0","24.0","22.121078","18.274113","3.8789215","5.7258873"
"27.0","24.0","11.220184","22.38721","35.48134","0.63095737","3.1622777","3.5481339","4.466836","7.0794578","27.0","24.0","25.721323","11.270815","1.278677","12.729185"
"28.0","24.0","35.48134","22.38721","17.782795","0.70794576","2.818383","6.3095737","8.912509","7.943282","28.0","24.0","28.982374","5.1676064","0.9823742","18.832394"
"29.0","24.0","14.125376","17.782795","28.18383","1.1220185","8.912509","14.125376","14.125376","7.943282","29.0","24.0","26.895473","26.167257","2.1045265","2.1672573"
"30.0","24.0","11.220184","39.81072","39.81072","1.1220185","5.0118723","50.118725","8.912509","5.0118723","30.0","24.0","26.928621","26.055746","3.0713787","2.055746"
"31.0","24.0","17.782795","35.48134","44.668358","1.9952623","8.912509","70.79458","6.3095737","4.466836","31.0","24.0","28.756836","26.797897","2.243164","2.7978973"
"32.0","24.0","31.622776","44.668358","56.23413","3.1622777","14.125376","70.79458","3.5481339","5.0118723","32.0","24.0","39.84964","24.373423","7.84964","0.37342262"
"33.0","24.0","39.81072","70.79458","79.43282","8.912509","25.118864","70.79458","4.466836","3.9810717","33.0","24.0","41.556213","30.890545","8.556213","6.890545"
"34.0","24.0","100.0","158.48932","79.43282","4.466836","8.912509","63.095734","3.1622777","4.466836","34.0","24.0","36.88724","29.514078","2.8872414","5.514078"
"35.0","24.0","112.20184","125.89254","100.0","12.589254","15.848932","70.79458","4.466836","8.912509","35.0","24.0","39.110794","27.777575","4.110794","3.7775745"
"36.0","24.0","112.20184","89.12509","112.20184","19.952623","7.0794578","44.668358","7.0794578","5.0118723","36.0","24.0","33.202057","23.237251","2.797943","0.7627487"
"37.0","24.0","56.23413","56.23413","70.79458","22.38721","22.38721","25.118864","4.466836","5.623413","37.0","24.0","41.92233","31.549402","4.922329","7.549402"
"38.0","24.0","141.25375","100.0","79.43282","22.38721","35.48134","56.23413","10.0","7.0794578","38.0","24.0","40.855003","24.829014","2.8550034","0.8290138"
"39.0","24.0","177.82794","112.20184","89.12509","31.622776","12.589254","63.095734","11.220184","6.3095737","39.0","24.0","34.463905","23.678953","4.5360947","0.32104683"
"40.0","24.0","125.89254","0.011220185","70.79458","4.466836","4.466836","63.095734","8.912509","3.9810717","40.0","24.0","27.573671","20.314257","12.426329","3.6857433"
"45.2","39.6","79.43282","0.011220185","25.118864","11.220184","100.0","56.23413","5.623413","22.38721","45.2","39.6","34.380104","23.693993","10.819897","15.906006"
"46.2","39.6","100.0","177.82794","14.125376","14.125376","158.48932","0.011220185","5.0118723","28.18383","46.2","39.6","29.101511","32.642","17.09849","6.958"
"47.2","39.6","56.23413","177.82794","11.220184","15.848932","50.118725","141.25375","5.623413","39.81072","47.2","39.6","29.25661","35.21235","17.94339","4.3876495"
"48.2","39.6","56.23413","177.82794","14.125376","17.782795","112.20184","141.25375","4.466836","44.668358","48.2","39.6","35.369938","32.513863","12.830063","7.086136"
"46.2","38.0","177.82794","177.82794","17.782795","15.848932","70.79458","112.20184","3.9810717","31.622776","46.2","38.0","28.382584","32.461414","17.817417","5.5385857"
"46.2","37.0","125.89254","177.82794","56.23413","3.5481339","89.12509","141.25375","2.5118864","31.622776","46.2","37.0","36.02617","29.677","10.173832","7.323"
"46.2","36.0","89.12509","0.011220185","56.23413","17.782795","100.0","177.82794","2.2387211","50.118725","46.2","36.0","41.93755","31.35474","4.262451","4.64526"
"46.2","35.0","158.48932","177.82794","39.81072","70.79458","158.48932","199.52623","2.818383","56.23413","46.2","35.0","42.046547","30.890299","4.153454","4.109701"
"46.2","34.0","112.20184","177.82794","35.48134","31.622776","79.43282","141.25375","1.1220185","22.38721","46.2","34.0","40.623337","30.257607","5.576664","3.7423935"
"46.2","33.0","89.12509","141.25375","79.43282","14.125376","63.095734","177.82794","1.0","22.38721","46.2","33.0","35.756172","22.766476","10.443829","10.233524"
"46.2","32.0","112.20184","141.25375","44.668358","50.118725","70.79458","177.82794","0.7943282","44.668358","46.2","32.0","34.119156","18.604952","12.080845","13.395048"
"46.2","31.0","125.89254","0.011220185","39.81072","25.118864","100.0","177.82794","5.623413","22.38721","46.2","31.0","40.10323","29.986315","6.0967712","1.0136852"
"46.2","30.0","79.43282","0.011220185","89.12509","8.912509","50.118725","177.82794","2.2387211","22.38721","46.2","30.0","38.508274","28.643166","7.6917267","1.3568344"
"
"
"Average ","error in ","x and y","4.12696","6.081848"
